id;slug;title;legal_name;taxpayer_number;discount_in_percents;commission_in_percents
6f005880-38f7-472e-a600-70199a0f9231;Isle;Fantastic;connecting Personal Loan Account;"804";74;38
3ee8ec73-3548-448c-8a04-9a15df87d069;Generic Enterprise-wide Frozen;monitor teal Auto Loan Account;Handcrafted Executive matrix;"2";39;79
c9e70ff1-9d21-4c45-a98e-2cba67708c5e;Steel Automotive Ball;Metal Steel;JBOD Martinique system engine;"84";71;7
a25a4842-cbab-4a69-b254-1d95c2cfc550;Customer Chilean Peso Unidades de fomento withdrawal;Handcrafted;Philippines;"5";18;53
0d8dac9d-b07d-4097-b3c7-cf2b69341ec7;convergence Graphic Interface middleware;compressing viral;platforms Grass-roots;"94863";43;45
74bbbe6d-86ed-4d5a-93a3-0ed518916df4;Kentucky;Re-contextualized;AI;"588";65;82
51dc1c19-1ec3-45b8-9345-758e8e553f60;Borders definition;Computer;Shoes Hawaii;"0308";39;95
2348e42d-574b-442d-97dc-d593f657b9ef;Azerbaijanian Manat Grass-roots International;Montserrat Seamless bandwidth;structure Credit Card Account;"5582";15;35
1d339250-958b-4cca-a0e3-45e982389206;array unleash;Buckinghamshire RAM Auto Loan Account;Tanzanian Shilling Gorgeous Frozen Shoes regional;"119";11;99
13e2f426-fdeb-4d88-97db-09d3609903f1;Berkshire Assimilated;blue tan;virtual navigate;"05408";;43
